apparence, aspect, photo ;hanus hanuu-n (2) ;hanue hanuu-n ;hanu. hanuu-n ;hanu, hanuu-n ;hanur hanuu-n 
son corps ;cetha-n ;cerhé-n ;cetne-n ;cene-n/ kanye-n ;hne-n/ kanye-n 
sa chair ;;;pixe-n ;pixe-n 
sa viande, viande de- ;hmovi-ns hmove- (7) ;hmavi-n, hmave- ;hmavi-n. hmave- ;hmai-n,s hmave- ;hmai-n, hmave-~ 
sa peau ;cii-n ;cii-n ;cii-n ;cii-n ;cii-n 
droite, sa main droite ;duhi, duhi-n ;duhi, duhi-n ;due~hi-n ;duhis duhi-n ;jue-hi-n 
gauche, son cdté gauche ;mo. moo-n ;mo, moo-n ;mOr moo-n ;MO. moo-n ;mor moo-n 
os, son os ;due duu-n ;dus duu-n ;dus duu-n ;dur duu-n ;dus duu-n 
sang, son sang ;kuta, kutaa-n ;kurae kuraa-n ;kuta,y kutaa-n ;kura, kuraa-n ;kurae kuraa-n 
veine (= corde) ;wok ;wak ;wak ;wak ;wék 
articulation ;bocit ;boyit ;bocit ;boyit ;boyit 
ses tendons ;w6-tu-vhe-sang (7) ;wa-tu-vhe-yek ;wa-tu-fe-ek ;wa-tu-ve-ek ;wé- juwac 
poil, son poil ;pun. puni-n ;puns puni-n ;pun, puni-n ;pun, puni-n ;pun, puni-n 
ses poils de corps ;fuduu-n ;pumaa-n ;pumaa-n ;pumaa-n ;pumae~n 
sa téte * ;ga-n ;ga-n ;bwa-n ;bwa-n ;bwa-n 
son crane (sec) ;piin-ga-n ;piin-ga-n ;piin-bwa-n ;piin-bwa-n ;piin-bwa-n 
son occiput ;pwiye-ga-n (T) ;pwiye-ga-n ;pwiye-bwa-n ;pwiye-bwa-n ;pwiwii-n 
le sommet du crane ;min-ga-n (T) ;min-ga-n ;;nenee-n 
sa fontanelle ;hwan-hu la-n ;hwan-hule-n ;hwan-hule-n ;hwan-ule-n ;hwan-ule-n (W) 
cervelle, sa cervelle ;hyagic, hyagiya-n (2) ;hyagice hyagie-n ;hyagic,s hyagie-n ;hyagics hyagie-n ;hyagic. hyagie-n 
ses cheveux ;pun-ga-n ;pun-ga-n ;pun~bwa-n ;pun-bwa-n ;pun-bwa-n 
méche sur le front, huppe ;bwili.s bwilii-n (7) ut, ula-n (0) ;bwilis bwilii-n ;bwilis bwilii-n ;bwilis bwilii-n ;bwili. bwilii-n 
grisonnant, 4 cheveux gris ;mapwiik ;mapwiik ;mapwiik ;mapwiik ;mapwiik 
cheveux blancs rouquin ;pwiik koloot ;pwiik koloot ;pwiik ;pwiik ;pwiik
albinos ;koopulo ;koovulo ;koopulo ;koovulo tha ;koovulo tha 
chauve ;(T) tha hwata (0) ;tha ;tha 
