SUBORDONNEES ANTEPOSFEES ;;;;;phuâne (y) pmwane (W). 
si ;pwane ;fwane ;pmwane ;pmwane 
quand ;pwa/ pua then ;fwâve ;pmwawe ;pmwawe ;phuâme (Y) pmwame (W) 
si je travaille trop, je serai fatigué ;pmwane yo paa vaya o nya wo hmwele yo ;pmwane ;pmwane wo cnen vaya o hmwele wo ;pmwano-o o hmwele o cnen vaa 
quand tu arrives, il pleut ;pwa then do hame 0 nya kut ;;;pmwawe do heme o kut ;(Y) phwâme-m heme o kut 
car, parce que ;ai ;ai ;ai ;ai ;ai 
que, pour que, de sorte que ;wo/ awo ;we ;wo/ awo ;we/ awe/ avo ;me/ ame 
que, si ;ne ;ne ;ne ;ne ;ne 
de peur que ;ai na kalo ;;;ai na kalo ;ai hnaa kalo 
que (après verbe d'opinion, introduit le discours direct) ;phaïi ;peei ;;peei ;peei 
je pleure car j'ai faim ;yo-m hye ai mado-ng ;wo-n hye ai mado-ng ;;wo-n hye ai mado-ng ;mo-n hye ai mado-ng 
je veux que tu viennes ;nyimo-ng wo do hame ;nyamo-ng we do heme ;nyamon-ng wo do hngeme ;nyamo-ng we do heme ;kao-ng me-m heme 
je coupe du bois pour que tu fasses la cuisine ;yYo-m thegapi ceek wo do pataak ;;wo thavi ceek awo do pwe-cilek ;wo-n tha-ceek awe do pue-yilek 
je prends Kaapo pour épouse ;yo-m vhe kaapo awo thoomwaa-ng ;;wo fe kaapo awo hnoowo-ng ;uo fe kaavo avo hnoco-ng 
il faut que tu travailles ;koha ne do vaya ;kohya ne do vaya ;koha ne do vaya ;koa ne do vaa ;kop ne-m vaa 
viens ! plus rien à manger de peur qu'il n'y ait ;hame ai koi hwi-aman na kalo ;;;heme ai koi hwi-aman na kalo ;huu heme ai hnaa kalo koïi 
il lui dit que “..." ;nya peei na-n nyang phai ”...” ;“...” ye peei na-n yek peei ;;ye peei na peei ‘..." ne ek ;xe peei na “...” peei Li ek 
l'en jawe, Les conjonctions me  ;et ne introduisent des suffixes personnels possessifs comme sujets ;;;de la subordonnée 
