aller (déplacement neutre) aller en haut aller en bas ;hya- (T) hya-ta (T) hya-tip (T) ;hya- hya-ra hya-rip ;hyaa- hyaa-ta hyaa-tic ;hya- hya-ra hya-ric ;hya- hya-ra hya-ric 
aller chercher quelque chose ;hila/ koomai (T) hyakhädi/ koomai (0) ;hyahâdi/ hyalagi/ koomai ;hila ;hyangadi/ hyalagi/ hila/ pe-hila ;hyalabwi 
chercher quelqu'un ;hila (sang) ;hyala (yek) ;;hyala (-ek) ;hyala (-ek) 
trouver ;hmaa ko-n ;hmaa o-n ;taki ;hmaa xo-n/ taxi ;taxi 
trouver par hasard ;;;thathia ;tharia ;tharia (W) 
perdre ;pa-cian-i ;pa-cien-i ;pa-cien-i ;pa-cien-i ;pa-cien-i 
marcher, avancer ;hyathok (0) ;hyarok ;hngen dai-n ;hen dai-n 
se promener ;han pe-han (T) ;hemahen ;hnge-ma-hngen ;hemaen ;pweeno (Y) pweeno/ hemaen (W) 
marche, voyage, déplacement ;hmano ;hmeno ;hmeno ;hmeno ;heno 
suivre, visiter ;hyakute (7) ;hyaure ;hyakute ;hyaxure ;huure 
marcher en file indienne, l'un derrière l'autre ;pe-han tai-le (7) ;pe-hen tai-le ;;te-yaic/ te-pe-yaic ;te-pe-hulic (7) 
tirer quelqu'un, guider (a- veugle) ;;;;te-yai (-ek) ;te-huli (-ek) (Y) 
conduire, mener quelqu'un ;;thooro hi-n ;;thooro-i-n ;huli (Y) 
aller chez les uns et autres, faire sa tournée ;les waladio (T) ;waladio ;;huluun 
se frayer un chemin en brousse ;thaaba (T) ;thaaba ;thaaba ;thaaba ;saaba 
perdu en brousse, égaré ;jauvhang (T) ;saap/ jauvha ;chaap ;saap ;niiva /}) saap (W) 
aller sans regarder où l'on va ;ka-bwewo (T) ;gaaba ;bueevo ;gaaba ;gaaba (W) 
passer ;than ;than ;than ;than ;than (W) 
s'approcher s'éloigner descendre en s'approchant descendre en s'éloignant monter en s'approchant monter en s'éloignant ;tha-me tha-dec ;tha-me tha-dec ;tha-me tha-dec ;tha-me tha-dec tha-di-me tha-di-ec tha-da-me tha-da-ec ;tha-me (W) than-ec (W) tha-ri-ve (ii) tha-ri-ec (#) tha-ra-me (Y) tha-ri-ec (W) 
franchir, traverser (col, forêt) ;;;than noova ;thaoot 
passer, dépasser un endroit ;;;;caateoot ;cureoot (xe-n' ca-tereoot {#} (y) 
passer, dépasser ;yalaai (T) ;wedan ;fadavi ;wedan ;vedan
