français#@#apparence, aspect, photo#@#835#@#118#@#570#@#39;pije#@#hanu, hanuu-n (T)#@#832#@#886#@#393#@#37;fwâi#@#hanu: hanuu-n#@#833#@#1407#@#304#@#34;nemi 1 (Temala)#@#hanu, henuu-n#@#832#@#1928#@#307#@#34;nemi 2 (côte est)#@#hanu: hanuu-n#@#834#@#2453#@#307#@#33;jawe#@#hanu: hanuu-n#@#832#@#2978#@#309#@#34;64
français#@#son corps#@#916#@#119#@#207#@#30;pije#@#cethä-n#@#904#@#884#@#163#@#34;fwâi#@#cerhè-n#@#904#@#1406#@#162#@#34;nemi 1 (Temala)#@#cetne-n#@#907#@#1928#@#163#@#29;nemi 2 (côte est)#@#cene-n/ kanye-n#@#904#@#2453#@#355#@#40;jawe#@#hne-n/ kanye-n#@#903#@#2978#@#332#@#41;64
français#@#sa chair#@#978#@#118#@#184#@#32;nemi 2 (côte est)#@#pixe-n#@#976#@#2453#@#138#@#41;jawe#@#pixe-n#@#975#@#2977#@#140#@#42;64
français#@#sa viande, viande de-#@#1050#@#118#@#496#@#62;pije#@#hmovi-n,. hmove(T)#@#1049#@#883#@#441#@#34;fwâi#@#hmavi-n, hmave-#@#1049#@#1404#@#352#@#33;nemi 1 (Temala)#@#hmavi-n: hmave-#@#1049#@#1927#@#353#@#33;nemi 2 (côte est)#@#hmai-n, hmave-#@#1050#@#2451#@#330#@#33;jawe#@#hmai-n, hmave-#@#1050#@#2975#@#332#@#33;64
français#@#sa peau#@#1135#@#117#@#160#@#29;pije#@#cii-n#@#1122#@#883#@#114#@#35;fwâi#@#cii-n#@#1122#@#1403#@#115#@#33;nemi 1 (Temala)#@#cii-n#@#1122#@#1927#@#114#@#33;nemi 2 (côte est)#@#cii-n#@#1122#@#2451#@#116#@#35;jawe#@#cii-n#@#1122#@#2975#@#116#@#35;64
français#@#droite, sa main droite#@#1194#@#111#@#526#@#39;pije#@#duhi, duhi-n#@#1194#@#878#@#284#@#33;fwâi#@#duhi, duhi-n#@#1193#@#1400#@#284#@#33;nemi 1 (Temala)#@#due-hi-n#@#1193#@#1921#@#190#@#33;nemi 2 (côte est)#@#duhi, duhi-n#@#1193#@#2447#@#285#@#33;jawe#@#jue-hi-n#@#1194#@#2978#@#185#@#39;64
français#@#gauche, son côté gauche#@#1267#@#114#@#546#@#39;pije#@#mO+ moo-n#@#1276#@#878#@#212#@#23;fwâi#@#mor moo-n#@#1275#@#1400#@#212#@#24;nemi 1 (Temala)#@#mo: moo-n#@#1273#@#1923#@#213#@#25;nemi 2 (côte est)#@#mor moo-n#@#1275#@#2447#@#213#@#23;jawe#@#mor moo-n#@#1275#@#2973#@#211#@#23;64
français#@#os, son os#@#1350#@#112#@#232#@#28;pije#@#dus duu-n#@#1339#@#877#@#212#@#32;fwâi#@#du, duu-n#@#1338#@#1398#@#212#@#33;nemi 1 (Temala)#@#du, duu-n#@#1338#@#1921#@#213#@#32;nemi 2 (côte est)#@#du, duu-n#@#1338#@#2445#@#214#@#33;jawe#@#du, duu-n#@#1339#@#2968#@#215#@#32;64
français#@#sang, son sang#@#1422#@#112#@#329#@#29;pije#@#kuta, kutaa-n#@#1410#@#878#@#306#@#33;fwâi#@#kura:s kuraa-n#@#1409#@#1401#@#304#@#33;nemi 1 (Temala)#@#kuta:s kutaa-n#@#1409#@#1924#@#306#@#31;nemi 2 (côte est)#@#kura: kuraa-n#@#1410#@#2447#@#307#@#32;jawe#@#kuras kuraa-n#@#1410#@#2973#@#305#@#32;64
français#@#veine (= corde)#@#1482#@#108#@#352#@#38;pije#@#wôk#@#1482#@#876#@#67#@#33;fwâi#@#wâk#@#1481#@#1398#@#67#@#33;nemi 1 (Temala)#@#wäk#@#1481#@#1920#@#68#@#31;nemi 2 (côte est)#@#wäk#@#1482#@#2444#@#68#@#33;jawe#@#wêk#@#1482#@#2970#@#66#@#32;64
français#@#articulation#@#1554#@#109#@#283#@#33;pije#@#bocit#@#1553#@#877#@#113#@#34;fwâi#@#boyit#@#1554#@#1398#@#113#@#39;nemi 1 (Temala)#@#bocit#@#1552#@#1920#@#114#@#34;nemi 2 (côte est)#@#boyit#@#1554#@#2444#@#114#@#41;jawe#@#boyit#@#1554#@#2968#@#114#@#39;64
français#@#ses tendons#@#1629#@#109#@#255#@#30;pije#@#wô-tu-vhe-sang (T)#@#1625#@#874#@#418#@#40;fwâi#@#wä-tu-vhe-yek#@#1625#@#1396#@#305#@#39;nemi 1 (Temala)#@#wâ-tu-fe-ek#@#1625#@#1917#@#259#@#33;nemi 2 (côte est)#@#Wàä-tu-ve-ek#@#1626#@#2443#@#257#@#33;jawe#@#wè-juwac#@#1626#@#2967#@#186#@#38;64
français#@#poil, son poil#@#1698#@#108#@#328#@#41;pije#@#pun. puni-n#@#1697#@#874#@#257#@#40;fwâi#@#pun, puni-n#@#1697#@#1396#@#256#@#39;nemi 1 (Temala)#@#pun, puni-n#@#1697#@#1918#@#258#@#38;nemi 2 (côte est)#@#pun, puni-n#@#1698#@#2441#@#259#@#39;jawe#@#pun, puni-n#@#1697#@#2967#@#258#@#40;64
français#@#ses poils de corps#@#1770#@#109#@#424#@#42;pije#@#fuduu-n#@#1770#@#874#@#162#@#33;fwâi#@#pumaa-n#@#1777#@#1394#@#163#@#32;nemi 1 (Temala)#@#pumaa-n#@#1776#@#1917#@#164#@#32;nemi 2 (côte est)#@#pumaa-n#@#1777#@#2441#@#164#@#32;jawe#@#pumae-n#@#1777#@#2965#@#165#@#32;64
